GLORIA_ID,lat,lon,label,Date_Time_UTC,Water_body_type,Country,Bleu,Vert,Rouge,NIR
GID_2169,4.8541665,-52.245834,112.75,2016-12-02T14:37,3,France,0.008421,0.0165476,0.0181623,0.00413173
GID_2170,50.793835,1.5641167,2.2175,2017-04-21T13:45,3,France,0.0033738955,0.0071885465,0.0022276298,0.00015920532
GID_2171,50.98752,1.2106333,1.1,2017-04-22T11:15,3,France,0.0053354558,0.004991917,0.00095602777,7.996155e-05
GID_2172,50.876034,1.0467167,0.81875,2017-04-22T14:00,3,France,0.0012645563,0.0022817426,0.0007524822,4.2442265e-05
GID_2173,50.8228,0.86231667,2.56875,2017-04-22T16:00,3,United Kingdom of Great Britain and Northern Ireland (the),0.006780541,0.010549974,0.0028908395,0.00022531733
GID_2174,50.661617,0.4341,0.90125,2017-04-23T08:45,3,United Kingdom of Great Britain and Northern Ireland (the),0.004201163,0.004686199,0.0009321083,6.962619e-05
GID_2175,50.699368,0.16091667,1.39375,2017-04-23T11:40,3,United Kingdom of Great Britain and Northern Ireland (the),0.008673945,0.008394345,0.0015311696,0.00012364694
GID_2176,50.539284,-0.6669667,1.67375,2017-04-24T07:00,3,United Kingdom of Great Britain and Northern Ireland (the),0.009270348,0.010333039,0.002187102,0.00016852235
GID_2177,50.540535,-0.9857,1.56,2017-04-24T12:30,3,United Kingdom of Great Britain and Northern Ireland (the),0.008598361,0.010206938,0.0023685412,0.0002300466
GID_2178,50.375233,-1.10195,3.1675,2017-04-24T15:20,3,United Kingdom of Great Britain and Northern Ireland (the),0.010895893,0.012779254,0.003146218,0.0002704272
GID_2179,49.745716,-1.0727667,0.87875,2017-04-25T10:00,3,United Kingdom of Great Britain and Northern Ireland (the),0.007617024,0.0063761114,0.0010623715,9.5184805e-05
GID_2180,49.539066,-1.08915,0.7575,2017-04-25T14:00,3,France,0.0028086316,0.0035632101,0.00075028656,6.178421e-05
GID_2181,49.432934,-0.86656666,0.6325,2017-04-26T07:15,3,France,0.0043741288,0.0050091753,0.0011730292,0.00013172576
GID_2182,49.398815,-0.5995333,3.85,2017-04-26T09:35,3,France,0.011073649,0.013975042,0.003935051,0.0003101107
GID_2183,49.597168,-0.5625,0.34875,2017-04-26T13:10,3,France,0.0030028888,0.0023705086,0.0004167316,3.8474842e-05
GID_2184,49.484367,0.0177,6.24125,2017-04-27T11:10,3,France,0.013563353,0.018789273,0.0056298724,0.00041302026
GID_2185,49.615932,-0.00945,1.09875,2017-04-27T13:30,3,France,0.0056499396,0.0067725126,0.0013479249,0.00011191583
GID_2186,49.7467,-0.004,2.005,2017-04-27T16:00,3,France,0.009457971,0.010568409,0.0023370164,0.00020533847
GID_2187,50.009315,0.7029667,2.2725,2017-04-28T09:00,3,France,0.0025434745,0.00609015,0.0016288775,0.00012318285
GID_2188,50.14315,0.8706,2.41875,2017-04-28T11:15,3,France,0.0040774844,0.0073455167,0.0015782794,0.000117930016
GID_2189,50.056267,0.94736665,2.60625,2017-04-28T13:20,3,France,0.0020080453,0.0048944675,0.0010440372,6.95363e-05
GID_2190,49.97307,1.0176667,2.425,2017-04-28T15:15,3,France,0.0027037929,0.0063348957,0.0016895015,0.00013881573
GID_2191,50.273468,1.3339,4.405,2017-04-29T08:00,3,France,0.004482461,0.010556936,0.002737885,0.00022405059
GID_2192,50.3004,1.1983167,2.20375,2017-04-29T09:35,3,France,0.0043825856,0.007048403,0.0010955451,7.891952e-05
GID_2193,50.425865,1.2590667,1.73125,2017-04-29T11:40,3,France,0.0042607263,0.009733465,0.0019747633,0.00012147268
GID_2194,50.409233,1.3864833,0.765,2017-04-29T13:25,3,France,0.0046774694,0.007122942,0.0009455544,6.913909e-05
GID_2195,50.3908,1.5083,3.79875,2017-04-29T15:05,3,France,0.003967218,0.009853232,0.0029110662,0.00024023428
GID_2196,50.6745,1.3978,1.0755556,2017-06-01T11:00,3,France,0.0096171135,0.0071179066,0.0009420691,6.6941095e-05
GID_2197,5.0775332,-52.058315,4.038,2017-07-01T14:45,3,France,0.003190722,0.005670671,0.0013935223,7.988558e-05
GID_2198,5.1716833,-52.022835,3.97,2017-07-01T15:30,3,France,0.0028279957,0.004218594,0.0010139451,7.262131e-05
GID_2199,4.8771334,-52.22843,27.36,2017-07-01T19:15,3,France,0.0073015913,0.015618118,0.017552983,0.0020904322
GID_2200,,,3.235,2017-07-02T12:15,3,France,0.003770148,0.0072437385,0.002580759,0.00015834376
GID_2201,4.9325666,-52.174767,7.989,2017-07-02T14:15,3,France,0.006830497,0.013740344,0.0050520618,0.0003705505
GID_2202,4.8499165,-52.256783,7.768,2017-07-02T15:30,3,France,0.0022663416,0.005100524,0.00451827,0.00028477717
GID_2203,4.847833,-52.263866,6.412,2017-07-03T14:50,3,France,0.0035720523,0.009631842,0.010409073,0.00055489806
GID_2204,4.888167,-52.232285,12.24,2017-07-03T20:31,3,France,0.005750238,0.012714079,0.012413029,0.0010433815
GID_2205,5.027483,-52.303295,15.1,2017-07-05T13:45,3,France,0.011845044,0.021211935,0.013591398,0.00076469616
GID_2206,5.0336666,-52.135017,7.744,2017-07-06T13:30,3,France,0.013442842,0.018935192,0.008073213,0.00046110994
GID_2207,5.0092335,-52.1988,9.587,2017-07-06T14:13,3,France,0.014067104,0.02089179,0.009002473,0.0006154214
GID_2208,5.0476,-52.306217,10.83,2017-07-06T15:24,3,France,0.012006799,0.019945737,0.009550635,0.0004867525
GID_2209,4.992067,-52.315483,8.512,2017-07-06T16:38,3,France,0.011620126,0.020112948,0.008748924,0.0005307513
GID_2210,50.7577,1.5229,2.308,2017-10-16T09:53,3,France,0.01084127,0.012322998,0.0027748707,0.00025916818
GID_2211,50.7575,1.5534,3.746,2017-10-16T10:20,3,France,0.014689891,0.017740306,0.0045947134,0.0003326618
GID_2212,4.765347,-52.026325,79.22,2017-11-07T13:50,3,France,0.012868192,0.020944776,0.019712022,0.0037786188
GID_2213,5.04703,-52.1083,4.297,2017-11-07T17:40,3,France,0.013303512,0.015061867,0.0031316518,0.00026343373
GID_2214,4.971803,-52.165466,8.712,2017-11-07T18:35,3,France,0.016912922,0.02343434,0.008476111,0.00056443474
GID_2215,4.898374,-52.216633,251.9,2017-11-07T19:15,3,France,0.0067496053,0.0135408025,0.018291526,0.009206629
GID_2216,5.142337,-52.375328,7.864,2017-11-08T12:45,3,France,0.016694931,0.020065976,0.0052895653,0.00047274982
GID_2217,5.21393,-52.60672,26.41,2017-11-08T17:25,3,France,0.018086215,0.026909027,0.017686956,0.0019714804
GID_2218,5.337697,-52.78758,48.34,2017-11-09T12:35,3,France,0.019830443,0.030756826,0.02193734,0.0030843886
GID_2219,5.467973,-52.961994,17.477777,2017-11-09T14:46,3,France,0.00777586,0.016284917,0.006564796,0.0015284636
GID_2220,5.497144,-52.94449,17.92,2017-11-09T15:40,3,France,0.02582636,0.034130294,0.01882953,0.002506105
GID_2221,5.495569,-53.02525,15.144444,2017-11-09T17:30,3,France,0.011719859,0.02166856,0.013778569,0.0018126433
GID_2226,51.180965,2.2491167,0.914,2018-04-19T08:32,3,France,0.0039935317,0.005308087,0.0010545364,8.53981e-05
GID_2227,51.0872,2.3158667,1.1222222,2018-04-19T11:38,3,France,0.0027878375,0.005307865,0.0010004818,7.801451e-05
GID_2228,50.9156,1.6107833,1.224,2018-04-20T07:22,3,France,0.0030337102,0.005067308,0.0011875425,0.000106270134
GID_2229,50.978767,1.4959667,1.099,2018-04-20T09:38,3,France,0.0041140486,0.0045637265,0.00088391715,8.33949e-05
GID_2231,50.68665,1.4312834,1.2711111,2018-04-21T07:22,3,France,0.0012482288,0.001710617,0.00041251682,3.147519e-05
GID_2232,50.569416,1.5275,0.92,2018-04-21T09:56,3,France,0.001823084,0.0037717703,0.0010002007,8.231236e-05
GID_2233,50.565483,1.3112333,0.75,2018-04-21T12:30,3,France,0.0014880894,0.0017619404,0.00038045942,2.7839704e-05
GID_2234,50.389767,1.2390333,0.285,2018-04-22T07:30,3,France,0.0019347847,0.0017188591,0.00027519124,2.6506747e-05
GID_2237,50.2408,1.4532833,2.856,2018-04-22T15:48,3,France,0.0012953713,0.002309275,0.0005394246,4.3478736e-05
GID_2238,50.271168,0.7171,0.7411111,2018-04-23T11:01,3,France,0.00307916,0.0025782962,0.00044163398,6.928789e-05
GID_2239,49.9017,0.5530667,1.961,2018-04-23T15:22,3,France,0.01033404,0.009850238,0.0017891409,0.00013921523
GID_2240,49.745716,-0.01805,0.755,2018-04-24T10:59,3,France,0.0036081579,0.003513808,0.00067460816,7.187335e-05
GID_2241,49.618,-0.00775,0.981,2018-04-24T14:02,3,France,0.0033536102,0.004632094,0.00079912756,5.9053407e-05
GID_2242,49.484066,0.010616667,5.641111,2018-04-24T16:42,3,France,0.0033132012,0.005411233,0.0017353566,0.00017178967
GID_2243,49.4198,-0.33453333,0.722,2018-04-25T07:42,3,France,0.0050699287,0.0041815033,0.00076132914,0.000102422506
GID_2244,49.4194,-0.61971664,1.747,2018-04-25T10:46,3,France,0.008498406,0.008902983,0.0016021933,0.00013098515
GID_2245,49.510517,-0.58695,0.55444443,2018-04-25T12:52,3,France,0.0030298473,0.0023686965,0.00041509603,6.012846e-05
GID_2247,49.655884,-1.0935833,0.756,2018-04-26T09:38,3,France,0.006235687,0.0047249263,0.0007046134,6.634676e-05
GID_2248,49.7493,-1.0907667,0.772,2018-04-26T11:56,3,France,0.008402321,0.0072131087,0.0012390268,0.000112043606
GID_2249,49.902782,-1.9638166,1.545,2018-04-28T07:26,3,France,0.00966781,0.007982122,0.0013387433,0.00011806589
